ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
3,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow,,14,5,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Engineer, site reliability",20 to 99 employees,I have some influence,,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,32000.0,Yearly,C#;C++;HTML/CSS;JavaScript;Python,C#;C++;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server,Microsoft SQL Server,,,Angular.js,Angular;Angular.js,Pandas,.NET,,,Notepad++;Visual Studio,Notepad++;Visual Studio,Windows,Windows,Git,Code editor,,,,,Microsoft Teams,Microsoft Teams,Very unfavorable,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Neutral,25-34 years old,Man,No,Bisexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,40205.0
42,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Written-based Online Courses,Coursera;Udemy;Udacity,3,3,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end",20 to 99 employees,I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Israel,ILS	Israeli new shekel,19000.0,Monthly,Bash/Shell;HTML/CSS;Python;SQL,Bash/Shell;Python;SQL,PostgreSQL,PostgreSQL;Redis,AWS;Google Cloud,AWS,,,Keras;NumPy;Pandas;Scikit-learn;TensorFlow,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Hugging Face Transformers,Docker,Docker,IPython/Jupyter;Vim,IPython/Jupyter;PyCharm;Vim,Linux-based,Windows,Git,Command-line,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Slack,Slack,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,I have an anxiety disorder,Yes,Independent contributor,3.0,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,10+ times a week,Never,30-60 minutes a day,15-30 minutes a day,Somewhat short,,,Yes,Yes,Appropriate in length,Neither easy nor difficult,68160.0
86,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses",,10,7,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end",100 to 499 employees,I have some influence,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,United States of America,USD	United States dollar,95000.0,Yearly,Bash/Shell;Java;Python;SQL,Clojure;Dart;Go;Java;JavaScript;Kotlin;Python;Scala;TypeScript,MariaDB;MySQL,MariaDB;MySQL,,,,,Keras;NumPy;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Flutter;Keras;NumPy;Scikit-learn;Spring;TensorFlow;Torch/PyTorch;Hugging Face Transformers,,,Eclipse;Notepad++;PyCharm,Eclipse;IntelliJ;Notepad++;PyCharm,Linux-based;Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,Microsoft Teams;Zoom,Microsoft Teams;Slack;Zoom,Indifferent,Stack Overflow,Daily or almost daily,No,,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,Prefer not to say,Yes,Independent contributor,7.0,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,6-10 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,Somewhat short,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Observability tools,No,No,Yes,Appropriate in length,Easy,95000.0
95,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other doctoral degree (Ph.D., Ed.D., etc.)","School (i.e., University, College, etc)",,,6,3,Data scientist or machine learning specialist;Scientist,20 to 99 employees,I have little or no influence,,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,42000.0,Yearly,Python;R,,PostgreSQL;SQLite,PostgreSQL;SQLite,,,,,Apache Spark;Tidyverse,Apache Spark;Tidyverse,,,Atom;IPython/Jupyter;RStudio,Atom;IPython/Jupyter;RStudio,Linux-based,Linux-based,Git,Command-line,,,Confluence;Jira Work Management;Microsoft Planner,,Microsoft Teams;Slack;Zoom,,Very unfavorable,Stack Overflow,A few times per week,No,,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,52769.0
108,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,Some college/university study without earning a degree,"School (i.e., University, College, etc);Other (please specify):",,,7,5,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Developer, embedded applications or devices",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,USD	United States dollar,35000.0,Yearly,Python;SQL;VBA,C++;JavaScript;Python;R;SQL;VBA,MySQL;PostgreSQL,MySQL;PostgreSQL,,,,,NumPy;Pandas,.NET;NumPy;Pandas,,,Eclipse;Notepad++,Eclipse;Notepad++;Visual Studio Code,Windows,Windows,Git,Command-line;Dedicated version control GUI application,,,Smartsheet,Smartsheet,Microsoft Teams;Slack,Microsoft Teams,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,13.0,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Never,3-5 times a week,6-10 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,None of these,No,No,Yes,Appropriate in length,Neither easy nor difficult,35000.0
118,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,I don’t code outside of work,Some college/university study without earning a degree,Books / Physical media;On the job training,,,32,28,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end;Senior Executive (C-Suite, VP, etc.)",10 to 19 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,USD	United States dollar,6000000.0,Yearly,C#,C#,,,Microsoft Azure,Microsoft Azure,,,.NET,.NET,,,Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Linux-based;Windows,Windows,Git,Code editor;Command-line,,,,,Microsoft Teams;Slack,Microsoft Teams;Slack,Very unfavorable,Stack Overflow;Stack Exchange,Less than once per month or monthly,No,,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,Yes,Independent contributor,28.0,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,Very short,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,No,Yes,Appropriate in length,Easy,6000000.0
143,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other doctoral degree (Ph.D., Ed.D., etc.)",Books / Physical media,,,20,8,"Data scientist or machine learning specialist;Developer, embedded applications or devices","10,000 or more employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,Singapore,SGD	Singapore dollar,180000.0,Monthly,C++;Julia;Python;Rust,F#;Python;Rust,MongoDB;MySQL,MongoDB;PostgreSQL;SQLite,AWS,AWS,Flask;React.js,Django;FastAPI;React.js,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch,NumPy;Scikit-learn;Torch/PyTorch;Hugging Face Transformers,Docker;npm,Docker;Unreal Engine,CLion;PyCharm;Visual Studio Code;Webstorm,CLion;PyCharm;Visual Studio Code;Webstorm,Linux-based,Linux-based,Git,Code editor;Command-line,,,Confluence;Jira Work Management,,Microsoft Teams;Zoom,Zoom,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White;European,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,1571124.0
168,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded)",,7,5,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Data or business analyst",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,43000.0,Yearly,Bash/Shell;C++;HTML/CSS;JavaScript;Python;R;TypeScript,C++;Python,,,AWS,AWS,Angular;Node.js,,NumPy;Pandas;Scikit-learn,NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Ansible;Docker,Kubernetes;Terraform,IPython/Jupyter;Visual Studio Code,IPython/Jupyter;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git,Command-line;Dedicated version control GUI application,,,Confluence;Jira Work Management,,Slack;Zoom,Zoom,Unfavorable,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;European,"Or, in your own words:","Or, in your own words:;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,6.0,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Never,3-5 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,No,Yes,Appropriate in length,Neither easy nor difficult,54025.0
197,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc);Colleague;Hackathons (virtual or in-person)",,,8,5,"Data scientist or machine learning specialist;Developer, back-end",10 to 19 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,India,INR	Indian rupee,4500000.0,Yearly,Python;Rust;TypeScript,Elixir;Python;Rust;TypeScript,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,AWS;Microsoft Azure,AWS,Django;FastAPI,Django;FastAPI;Next.js;Nuxt.js;Phoenix;Svelte,NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Apache Spark;Hadoop;NumPy;Pandas;Scikit-learn;Torch/PyTorch;Hugging Face Transformers,Docker;Kubernetes,Docker;Kubernetes;Terraform,IPython/Jupyter;Neovim;PyCharm;Visual Studio Code,IPython/Jupyter;Neovim;PyCharm;Visual Studio Code,macOS,Linux-based,Git,Command-line,,,Confluence;Jira Work Management;Notion,Jira Work Management,Slack,Slack,Unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Indian,None of the above,None of the above,Yes,Independent contributor,5.0,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,Less than 15 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Observability tools,Yes,No,Yes,Appropriate in length,Easy,58037.0
203,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);Written-based Online Courses",,9,7,"Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Scientist","5,000 to 9,999 employees",I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Netherlands,EUR European Euro,50000.0,Yearly,Bash/Shell;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell;C;C++;LISP;Python;Rust;SQL,MariaDB;MySQL;PostgreSQL;SQLite,PostgreSQL;Firebase Realtime Database;Redis;SQLite,DigitalOcean;Heroku;Managed Hosting,AWS;Firebase;Google Cloud;Microsoft Azure,FastAPI;Flask;jQuery;Laravel;Symfony;Vue.js,Django;React.js,NumPy;Pandas,NumPy,Docker;npm,Docker,CLion;IPython/Jupyter;PhpStorm;PyCharm,PhpStorm;PyCharm,Linux-based;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git,Command-line;Dedicated version control GUI application,,,Asana;Trello,Trello,Microsoft Teams;Slack;Zoom,Microsoft Teams,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,7.0,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,3-5 times a week,60-120 minutes a day,30-60 minutes a day,Somewhat long,None of these,No,Yes,Yes,Appropriate in length,Easy,53322.0
