YearsExperience,Age,EdLevel,Salary
4.6,28.39,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32000.0
1.99,25.78,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",19000.0
6.78,31.04,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",95000.0
3.3,28.78,"Other doctoral degree (Ph.D., Ed.D., etc.)",42000.0
4.51,33.45,Some college/university study without earning a degree,35000.0
27.77,45.21,Some college/university study without earning a degree,6000000.0
8.44,29.59,"Other doctoral degree (Ph.D., Ed.D., etc.)",180000.0
7.17,31.83,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",43000.0
5.77,26.2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4500000.0
6.99,25.95,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50000.0
5.66,22.16,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",75000.0
2.97,25.24,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",55000.0
2.36,33.82,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24500.0
4.09,29.68,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0
4.27,26.41,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32000.0
5.57,26.64,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",90000.0
5.16,31.53,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",109000.0
6.5600000000000005,18.71,"Associate degree (A.A., A.S., etc.)",200000.0
4.35,29.2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",158000.0
23.83,48.62,"Other doctoral degree (Ph.D., Ed.D., etc.)",120000.0
10.5,28.71,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42000.0
5.99,30.53,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",140000.0
2.92,32.59,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",80000.0
1.78,23.96,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",250000.0
9.08,41.45,"Other doctoral degree (Ph.D., Ed.D., etc.)",90000.0
5.9,30.21,Some college/university study without earning a degree,30000.0
4.22,23.04,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",90000.0
7.38,28.11,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50000000.0
7.99,36.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",230000.0
7.67,33.2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",48000.0
19.92,46.16,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3000.0
4.07,30.13,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5000000.0
6.32,42.94,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100000.0
17.89,39.7,Some college/university study without earning a degree,1800000.0
11.6,36.46,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",360000.0
5.36,42.29,"Other doctoral degree (Ph.D., Ed.D., etc.)",300000.0
30.29,53.45,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",305000.0
3.15,28.95,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",200000.0
3.88,17.84,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",42000.0
10.96,32.31,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",58500.0
36.08,54.4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",120000.0
3.4,29.49,"Other doctoral degree (Ph.D., Ed.D., etc.)",100000.0
4.46,32.65,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",70000.0
